log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
12.390084439734396,2.870543130261979,29.868,5.826,68.847,20.0,20.53943007432122,8.121010864666975,10.559,,5.96384,2000,30,1.0131,False,True,False,False,False,False,False,False,False,True,559.1072349997271,178.12797312
12.682635962901152,2.870543130261979,23.402,4.597,72.057,16.2,21.057400844374136,8.373653020516244,11.659,,28.2,2010,40,1.0131,False,True,False,False,False,False,False,False,False,True,603.380315699339,659.9364
12.79350091288223,2.870543130261979,21.733,4.624,74.034,13.2,21.289999347969815,8.49355192596673,9.97,,41.59,2015,45,1.0131,False,True,False,False,False,False,False,False,False,True,628.8116232870209,903.8754700000001
14.921906806194231,4.7754486820297215,46.835,23.525,42.152,155.2,19.625537157780418,4.741072515718608,,,,1970,0,1.0274,False,False,False,False,False,True,False,True,False,False,199.84568868257077,
15.159403292184683,4.7754486820297215,47.337,19.477,47.19,127.1,21.06348105984646,5.935010590961789,,27.7093,,1980,10,1.0274,False,False,False,False,False,True,False,True,False,False,280.0731497874868,
15.451282466888188,4.7754486820297215,46.029,14.68,53.812,105.8,21.39619500394925,5.975553637246297,,34.9503,0.0,1990,20,1.0274,False,False,False,False,False,True,False,True,False,False,321.5564923274977,0.0
15.761138238557699,4.7754486820297215,42.371,12.69,55.391,86.4,21.666856511078155,5.924769034669714,0.816,58.1129,0.225248,2000,30,1.0274,False,False,False,False,False,True,False,True,False,False,328.1788815993901,9.543983008000001
16.061071228141174,4.7754486820297215,39.278,10.094,59.318,70.8,22.66491549441154,6.630282249789171,1.04,95.4425,3.13,2010,40,1.0274,False,False,False,False,False,True,False,True,False,False,393.295082492994,122.94013999999999
16.20727644805354,4.7754486820297215,37.432,9.332,60.608,64.4,22.838455723928302,6.66436182535919,2.463,,11.255,2015,45,1.0274,False,False,False,False,False,True,False,True,False,False,403.9136415113698,421.2971600000001
10.859364315442246,7.0805251971013,20.3,7.6,70.29,,19.042868835571817,8.127779566203905,,,,1970,0,1.0,False,False,False,True,False,False,True,False,False,False,571.3016257084726,
10.888651148696658,7.0805251971013,14.9,7.3,72.3046,,20.234364718419464,9.325292738399284,,,,1980,10,1.0,False,False,False,True,False,False,True,False,False,False,674.2615613328649,
